question,query,answer_llama37b,retrieve_data_llama37b,BLEU_score_llama37b,SQ_score_llama37b
What are all the viruses mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus) RETURN v.name,1.0,1.0,1
Which symptoms are caused by the virus Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom) RETURN s.name,"MATCH (v:Virus {name: ""Mpox""})-[:CAUSES]->(s:Symptom) RETURN s.name",1.0,0.833078701050083,0
What locations are affected by Mpox?,"MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location) RETURN l.name, l.country","MATCH (v:Virus {name:""Mpox""})-[:AFFECTS]->(l:Location) RETURN l.name, l.country;",1.0,0.828399516355805,0
What transmission methods are related to Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) RETURN t.method,"MATCH (v:Virus {name: ""Mpox""})-[:SPREADS_BY]->(t:Transmission) RETURN t.method;",1.0,0.8169276475307028,0
Which organizations are involved in Mpox?,MATCH (v:Virus {name: 'Mpox'})<-[:INVOLVED_IN]-(o:Organization) RETURN o.name,"MATCH (v:Virus {name: ""Mpox""})-[:INVOLVED_IN]-(o:Organization) RETURN o.name;",1.0,0.7649397524175255,0
What are all the symptoms in the dataset?,MATCH (s:Symptom) RETURN s.name,MATCH (s:Symptom) RETURN s.name AS SymptomName;,1.0,0.7361703354503866,0
Which viruses cause the symptom 'Fever'?,MATCH (s:Symptom {name: 'Fever'})<-[:CAUSES]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:CAUSES]->(s:Symptom {name: 'Fever'}) RETURN v.name;,1.0,0.7441605500122527,0
Which articles mention the symptom 'Rash'?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Rash'}) RETURN a.url,MATCH (s:Symptom {name: 'Rash'})<-[:MENTIONS_SYMPTOM]-(a:Article) RETURN a;,1.0,0.7180523798797351,0
How many viruses cause each symptom?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name, count(v) AS virus_count","MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name AS Symptom, count(v) AS Count ORDER BY Count DESC;",1.0,0.7221052041889016,0
What are all the locations in the dataset?,"MATCH (l:Location) RETURN l.name, l.country",MATCH (l:Location) RETURN l;,1.0,0.49534429052082446,0
Which viruses affect Mexico?,MATCH (l:Location {name: 'Mexico'})<-[:AFFECTS]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:AFFECTS]->(l:Location {country: 'Mexico'}) RETURN v.name;,0.0,0.632708767532676,0
