question,query,answer_llama37b,retrieve_data_llama37b,BLEU_score_llama37b,SQ_score_llama37b
What are all the viruses mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus) RETURN v.name AS virus_name,1.0,0.6767781116542884,0
Which symptoms are caused by the virus Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom) RETURN s.name,"MATCH (v:Virus {name: ""Mpox""})-[:CAUSES]->(s:Symptom) RETURN s.name",1.0,0.833078701050083,0
What locations are affected by Mpox?,"MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location) RETURN l.name, l.country","MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location) RETURN l.name, l.country",1.0,1.0,1
What transmission methods are related to Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) RETURN t.method,MATCH (v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) RETURN t.method,1.0,1.0,1
Which organizations are involved in Mpox?,MATCH (v:Virus {name: 'Mpox'})<-[:INVOLVED_IN]-(o:Organization) RETURN o.name,"MATCH (v:Virus {name: ""Mpox""})-[:INVOLVED_IN]-(o:Organization) RETURN o.name",1.0,0.7918204490244928,0
What are all the symptoms in the dataset?,MATCH (s:Symptom) RETURN s.name,MATCH (s:Symptom) RETURN s.name AS SymptomName ORDER BY s.name ASC,1.0,0.5118285025257894,0
Which viruses cause the symptom 'Fever'?,MATCH (s:Symptom {name: 'Fever'})<-[:CAUSES]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:CAUSES]->(s:Symptom {name: 'Fever'}) RETURN v.name,1.0,0.7733985269558932,0
Which articles mention the symptom 'Rash'?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Rash'}) RETURN a.url,The query does not generate!,0.0,0.0,0
How many viruses cause each symptom?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name, count(v) AS virus_count",The query does not generate!,0.0,0.0,0
What are all the locations in the dataset?,"MATCH (l:Location) RETURN l.name, l.country","MATCH (l:Location) RETURN l.name, l.country ORDER BY l.name;",1.0,0.6741942962447748,0
Which viruses affect Mexico?,MATCH (l:Location {name: 'Mexico'})<-[:AFFECTS]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:AFFECTS]->(l:Location {country: 'Mexico'}) RETURN v.name,0.0,0.6575678175815599,0
Which articles mention Mexico?,MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN a.url,"MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location {country: 'Mexico'}) RETURN a.url, a.abstract, a.label",0.0,0.7017437105337435,0
What locations are affected by more than one virus?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH l, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN l.name, virus_count",The query does not generate!,0.0,0.0,0
What are all the transmission methods in the dataset?,MATCH (t:Transmission) RETURN t.method,MATCH (:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method AS Transmission_Methods,1.0,0.30778741582971547,0
Which viruses are spread by 'Airborne Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne Transmission'}) RETURN v.name,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne Transmission'}) RETURN v.name,0.0,1.0,1
Which articles mention 'Direct Contact' as a transmission method?,MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission {method: 'Direct Contact'}) RETURN a;,0.0,0.9309145770394681,0
How many viruses are transmitted by each method?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, count(v) AS virus_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method as method, count(v) as count ORDER BY count DESC;",1.0,0.7375254351474566,0
What are all the organizations involved in viruses?,MATCH (o:Organization) RETURN o.name,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus) RETURN o.name, v.name",1.0,0.2829559628326351,0
Which organizations are involved in the virus Mpox?,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus {name: 'Mpox'}) RETURN o.name,MATCH (v:Virus {name: 'Mpox'})-[:INVOLVED_IN]-(o:Organization) RETURN o.name,1.0,0.8228687957158856,0
Which articles are published by the organization 'WHO'?,MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'}) RETURN a.url,The query does not generate!,0.0,0.0,0
What are all the articles in the dataset?,"MATCH (a:Article) RETURN a.url, a.abstract, a.label",The query does not generate!,0.0,0.0,0
Which articles are labeled as true?,"MATCH (a:Article {label: 'True'}) RETURN a.url, a.abstract",The query does not generate!,0.0,0.0,0
Which articles are labeled as fake?,"MATCH (a:Article {label: 'Fake'}) RETURN a.url, a.abstract","MATCH (a:Article {label: 'fake'}) RETURN a.url, a.abstract",0.0,0.8492326635760689,1
Which virus is mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,0.0,1.0,1
