question,query,answer_llama8b,retrieve_data_llama8b,BLEU_score_llama8b,SQ_score_llama8b
What are all the viruses mentioned in the dataset?,MATCH (v:Virus) RETURN v.name,MATCH (v:Virus) RETURN v.name AS VirusName,1.0,0.8070557274927982,0
Which symptoms are caused by the virus Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom) RETURN s.name,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom) RETURN s.name,1.0,1.0,1
What locations are affected by Mpox?,"MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location) RETURN l.name, l.country","MATCH (v:Virus {name: ""Mpox""})-[:AFFECTS]->(l:Location) RETURN l.name",1.0,0.7775613902943905,0
What transmission methods are related to Mpox?,MATCH (v:Virus {name: 'Mpox'})-[:SPREADS_BY]->(t:Transmission) RETURN t.method,"MATCH (v:Virus {name: ""Mpox""})-[:SPREADS_BY]->(t:Transmission) RETURN t.method",1.0,0.8446593249975184,0
Which organizations are involved in Mpox?,MATCH (v:Virus {name: 'Mpox'})<-[:INVOLVED_IN]-(o:Organization) RETURN o.name,"MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus {name: ""Mpox""}) RETURN o.name",1.0,0.6529218823592332,0
What are all the symptoms in the dataset?,MATCH (s:Symptom) RETURN s.name,MATCH (s:Symptom) RETURN s.name AS name,1.0,0.8070557274927982,0
Which viruses cause the symptom 'Fever'?,MATCH (s:Symptom {name: 'Fever'})<-[:CAUSES]-(v:Virus) RETURN v.name,MATCH (v:Virus)-[:CAUSES]->(s:Symptom) WHERE s.name = 'Fever' RETURN v.name,1.0,0.4900335872778243,0
Which articles mention the symptom 'Rash'?,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom {name: 'Rash'}) RETURN a.url,MATCH (a:Article)-[:MENTIONS_SYMPTOM]->(s:Symptom) WHERE s.name = 'Rash' RETURN a,1.0,0.6909495258935671,0
How many viruses cause each symptom?,"MATCH (v:Virus)-[:CAUSES]->(s:Symptom) RETURN s.name, count(v) AS virus_count",The query does not generate!,0.0,0.0,0
What are all the locations in the dataset?,"MATCH (l:Location) RETURN l.name, l.country",MATCH (l:Location) RETURN l,1.0,0.4723665527410147,0
Which viruses affect Mexico?,MATCH (l:Location {name: 'Mexico'})<-[:AFFECTS]-(v:Virus) RETURN v.name,"MATCH (v:Virus)-[:AFFECTS]->(l:Location {name: ""Mexico""}) RETURN v.name",1.0,0.6243635288727776,0
Which articles mention Mexico?,MATCH (a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN a.url,"MATCH (article:Article)-[:MENTIONS_LOCATION]->(location:Location {name: ""Mexico""}) RETURN article",1.0,0.6094880572755881,0
What locations are affected by more than one virus?,"MATCH (v:Virus)-[:AFFECTS]->(l:Location) WITH l, COUNT(v) AS virus_count WHERE virus_count > 1 RETURN l.name, virus_count","MATCH (l:Location)-[r:AFFECTS]-(v:Virus) WITH l, COUNT(DISTINCT v) as count WHERE count > 1 RETURN l.name AS LocationName",1.0,0.5070971046244025,0
What are all the transmission methods in the dataset?,MATCH (t:Transmission) RETURN t.method,MATCH (t:Transmission) RETURN t.method,1.0,1.0,1
Which viruses are spread by 'Airborne Transmission'?,MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission {method: 'Airborne Transmission'}) RETURN v.name,MATCH (t:Transmission {method: 'Airborne Transmission'})<-[:SPREADS_BY]-(v:Virus) RETURN v,0.0,0.728995997752023,0
Which articles mention 'Direct Contact' as a transmission method?,MATCH (a:Article)-[:MENTIONS_TRANSMISSION]->(t:Transmission {method: 'Direct Contact'}) RETURN a.url,MATCH (t:Transmission {method: 'Direct Contact'})-[:MENTIONS_TRANSMISSION]-(a:Article) RETURN a,0.0,0.7572449830988862,0
How many viruses are transmitted by each method?,"MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, count(v) AS virus_count","MATCH (v:Virus)-[:SPREADS_BY]->(t:Transmission) RETURN t.method, COUNT(v) AS virus_count",1.0,0.9184678024441792,1
What are all the organizations involved in viruses?,MATCH (o:Organization) RETURN o.name,MATCH (v:Virus)<-[r:INVOLVED_IN]-(o:Organization) RETURN o.name,1.0,0.3340392563357978,0
Which organizations are involved in the virus Mpox?,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus {name: 'Mpox'}) RETURN o.name,MATCH (o:Organization)-[:INVOLVED_IN]->(v:Virus {name: 'Mpox'}) RETURN o.name,1.0,1.0,1
Which articles are published by the organization 'WHO'?,MATCH (a:Article)-[:PUBLISHED_BY]->(o:Organization {name: 'WHO'}) RETURN a.url,MATCH (o:Organization {name: 'WHO'})<-[:PUBLISHED_BY]-(a:Article) RETURN a,1.0,0.7181801195447475,0
What are all the articles in the dataset?,"MATCH (a:Article) RETURN a.url, a.abstract, a.label",MATCH (a:Article) RETURN a,1.0,0.2865047968601901,0
Which articles are labeled as true?,"MATCH (a:Article {label: 'True'}) RETURN a.url, a.abstract","MATCH (a:Article {label: ""true""})-[]-(v) RETURN a;",1.0,0.37494051432044967,0
Which articles are labeled as fake?,"MATCH (a:Article {label: 'Fake'}) RETURN a.url, a.abstract",MATCH (a:Article {label: 'fake'})-[]->() RETURN a,0.0,0.435949382480739,0
Which virus is mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v.name,MATCH (a:Article {url: 'example.com'})-[:ABOUT_VIRUS]->(v:Virus) RETURN v,0.0,0.9333588643117227,0
Which symptoms are mentioned in the article with the URL 'example.com'?,MATCH (a:Article {url: 'example.com'})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name,"MATCH (a:Article {url: ""example.com""})-[:MENTIONS_SYMPTOM]->(s:Symptom) RETURN s.name",0.0,0.7979296449238732,0
What are the symptoms caused by Mpox in Mexico?,MATCH (v:Virus {name: 'Mpox'})-[:CAUSES]->(s:Symptom)<-[:MENTIONS_SYMPTOM]-(a:Article)-[:MENTIONS_LOCATION]->(l:Location {name: 'Mexico'}) RETURN s.name,"MATCH (v:Virus {name: 'Mpox'})-[:AFFECTS]->(l:Location {country: 'Mexico'}), (v)-[:CAUSES]->(s:Symptom) RETURN s.name",0.0,0.60422343977306,0
